gene_name,gene_id,genome
BIRC3,ENSG00000023445,hg38
AKAP11,ENSG00000023516,hg38
GLRX2,ENSG00000023572,hg38
SNAPC1,ENSG00000023608,hg38
DERA,ENSG00000023697,hg38
STRAP,ENSG00000023734,hg38
ABCC2,ENSG00000023839,hg38
DEF6,ENSG00000023892,hg38
PLEKHO1,ENSG00000023902,hg38
GCLM,ENSG00000023909,hg38
UBR2,ENSG00000024048,hg38
EHD2,ENSG00000024422,hg38
DEPDC1,ENSG00000024526,hg38
CCDC28A,ENSG00000024862,hg38
RRAGD,ENSG00000025039,hg38
HSF2,ENSG00000025156,hg38
PHF20,ENSG00000025293,hg38
HSD17B6,ENSG00000025423,hg38
NR1H3,ENSG00000025434,hg38
TYMP,ENSG00000025708,hg38
NCAPH2,ENSG00000025770,hg38
TOMM34,ENSG00000025772,hg38
SEC63,ENSG00000025796,hg38
KPNA6,ENSG00000025800,hg38
VIM,ENSG00000026025,hg38
RTEL1-TNFRSF6B,ENSG00000026036,hg38
FAS,ENSG00000026103,hg38
RNASET2,ENSG00000026297,hg38
CD44,ENSG00000026508,hg38
KCNG1,ENSG00000026559,hg38
AGPAT4,ENSG00000026652,hg38
SLAMF7,ENSG00000026751,hg38
BTN3A1,ENSG00000026950,hg38
MIPEP,ENSG00000027001,hg38
PRKCH,ENSG00000027075,hg38
INSRR,ENSG00000027644,hg38
IFNGR1,ENSG00000027697,hg38
B4GALT7,ENSG00000027847,hg38
SH2D2A,ENSG00000027869,hg38
VRK2,ENSG00000028116,hg38
TNFRSF1B,ENSG00000028137,hg38
VEZT,ENSG00000028203,hg38
POU2F2,ENSG00000028277,hg38
BRD9,ENSG00000028310,hg38
SNX1,ENSG00000028528,hg38
TBPL1,ENSG00000028839,hg38
BMAL2,ENSG00000029153,hg38
BCLAF1,ENSG00000029363,hg38
SLC39A9,ENSG00000029364,hg38
ANK1,ENSG00000029534,hg38
IBSP,ENSG00000029559,hg38
TFB1M,ENSG00000029639,hg38
RABEP1,ENSG00000029725,hg38
HMGB3,ENSG00000029993,hg38
NUP160,ENSG00000030066,hg38
BAK1,ENSG00000030110,hg38
MUSK,ENSG00000030304,hg38
IKZF2,ENSG00000030419,hg38
GRN,ENSG00000030582,hg38
FAM13B,ENSG00000031003,hg38
ARHGAP31,ENSG00000031081,hg38
CENPQ,ENSG00000031691,hg38
SARS1,ENSG00000031698,hg38
RANBP3,ENSG00000031823,hg38
ARID4A,ENSG00000032219,hg38
EIPR1,ENSG00000032389,hg38
PNPLA6,ENSG00000032444,hg38
IFT88,ENSG00000032742,hg38
ALG1,ENSG00000033011,hg38
ZCCHC8,ENSG00000033030,hg38
ABCF2,ENSG00000033050,hg38
CHPF2,ENSG00000033100,hg38
LRRC7,ENSG00000033122,hg38
FUT8,ENSG00000033170,hg38
UBA6,ENSG00000033178,hg38
GAB2,ENSG00000033327,hg38
ATP6V0A1,ENSG00000033627,hg38
PIAS1,ENSG00000033800,hg38
SLC4A7,ENSG00000033867,hg38
APBA2,ENSG00000034053,hg38
MAP2K3,ENSG00000034152,hg38
CLXN,ENSG00000034239,hg38
TMSB10,ENSG00000034510,hg38
ASTE1,ENSG00000034533,hg38
RNF19A,ENSG00000034677,hg38
PEX3,ENSG00000034693,hg38
GABARAPL2,ENSG00000034713,hg38
MYOC,ENSG00000034971,hg38
SH3YL1,ENSG00000035115,hg38
FAM136A,ENSG00000035141,hg38
VCL,ENSG00000035403,hg38
DEPDC1B,ENSG00000035499,hg38
DAPK2,ENSG00000035664,hg38
NSMAF,ENSG00000035681,hg38
ADSS2,ENSG00000035687,hg38
STAP1,ENSG00000035720,hg38
TIMP2,ENSG00000035862,hg38
RFC1,ENSG00000035928,hg38
TBC1D23,ENSG00000036054,hg38
CUL3,ENSG00000036257,hg38
MYOM2,ENSG00000036448,hg38
OTC,ENSG00000036473,hg38
CYP46A1,ENSG00000036530,hg38
ZZZ3,ENSG00000036549,hg38
SLC18A1,ENSG00000036565,hg38
USP2,ENSG00000036672,hg38
CASR,ENSG00000036828,hg38
TUBG2,ENSG00000037042,hg38
RPL26L1,ENSG00000037241,hg38
FLT4,ENSG00000037280,hg38
NSUN2,ENSG00000037474,hg38
FBXO42,ENSG00000037637,hg38
MFAP3,ENSG00000037749,hg38
MRI1,ENSG00000037757,hg38
METTL1,ENSG00000037897,hg38
HOXC8,ENSG00000037965,hg38
